Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Corvidae,,,_100727,940653,0.006199027,0.036572628,0.38419306,1025,-0.0014066383621977004,3515.337484035364,6297.2259222617995,22.969591524625407,2556.337488256133,0.48294008,123.046875,0.2706863717861335,-1.4224391,0.036572628,0.27334496,0.017244225,0.23584276599904788,0.6694225,0.27334496,0.5323037,0.374128220499842,(0.6561751365661621-0.0021872762590646744j),0.23584276599904788,0.008058259,67.22049,-0.0014066383621977004,22.969591524625407,6297.2259222617995,3515.337484035364,2556.337488256133
Corvidae,,,_100728,1643328,3.592825e-06,0.06388899,0.21459143,1025,-0.012611260308232664,2718.2634454718145,4917.415509090245,21.29971731860864,2235.0861517492363,0.38699362,117.45383522727273,0.2414301035849818,-0.92941046,0.06388899,0.25339937,0.08608881,0.1542126046534268,0.4704146,0.25339937,0.7707435,0.7168137784921025,(0.5590960383415222-0.0014452699106186628j),0.1542126046534268,0.013713386,205.08365,-0.012611260308232664,21.29971731860864,4917.415509090245,2718.2634454718145,2235.0861517492363
Corvidae,,,_100729,1301760,4.6989267e-06,0.04440642,0.39696026,1025,-0.010143645902146345,2711.4904847815046,5659.468556838011,19.401970565785156,2514.7993141631428,0.5943886,129.19921875,0.22480747381088192,-1.8586155,0.04440642,0.26789552,0.053576123,0.12090289213035785,0.52352756,0.26789552,0.5325162,0.49131812706220307,(0.5748999714851379+0.00038604059955105186j),0.12090289213035785,0.024655085,112.92553,-0.010143645902146345,19.401970565785156,5659.468556838011,2711.4904847815046,2514.7993141631428
Corvidae,,,_105715,1428840,0.003245498,0.012567811,0.08463474,1025,0.003632200491378554,3974.2291811446134,6734.040577204071,23.16212762969655,2503.911792157043,0.37397936,123.046875,0.28284879208267205,-11.140539,0.012567811,0.25964147,0.006628166,0.21283499137853815,0.56869924,0.25964147,0.023918731,0.10937797883430708,(0.5650277137756348-0.001953679835423827j),0.21283499137853815,0.017864194,35.07676,0.003632200491378554,23.16212762969655,6734.040577204071,3974.2291811446134,2503.911792157043
Corvidae,,,_10989,176832,0.008174764,0.03501701,0.19623317,1025,-0.016931944528067896,3252.2961259413905,6406.750276598627,20.59922435644412,2644.7891624305153,0.5567766,135.99917763157896,0.18314272720300656,-7.802154,0.03501701,0.27244577,0.06329251,0.17891556403540462,0.4685505,0.27244577,0.29233852,0.35479386468825913,(0.5155413746833801-0.007241749204695225j),0.17891556403540462,0.036702555,12.115885,-0.016931944528067896,20.59922435644412,6406.750276598627,3252.2961259413905,2644.7891624305153
Corvidae,,,_11403,476928,4.7589077e-05,0.04363474,0.26358062,1025,-0.004076750306408542,5515.671095128301,7929.105308434482,22.53065720041246,2329.1524734213654,0.2858536,103.359375,0.1976948893741783,-25.325436,0.04363474,0.27169657,0.087769784,0.5087366718079399,0.54625535,0.27169657,0.3931901,0.36222580653586095,(0.5519366264343262-0.0034669055603444576j),0.5087366718079399,0.022857592,40.667576,-0.004076750306408542,22.53065720041246,7929.105308434482,5515.671095128301,2329.1524734213654
Corvidae,,,_115057,766656,1.4592235e-05,0.0298744,0.15378425,1025,-0.004700811784544288,3049.937478033561,5575.374653183411,21.345775658207675,2622.6743812676264,0.45907846,123.046875,0.24931954874149648,-5.5814266,0.0298744,0.23955065,0.0064849253,0.1268465375709279,0.4914459,0.23955065,0.15092316,0.23226478631822453,(0.5211284756660461-0.0026939583476632833j),0.1268465375709279,0.009638855,44.75185,-0.004700811784544288,21.345775658207675,5575.374653183411,3049.937478033561,2622.6743812676264
Corvidae,,,_120837,91021,0.02251691,0.050939705,0.14545472,1025,0.005816384108033302,5687.656311153771,9361.922977747543,21.202958026202694,3044.5943011089053,0.38314012,129.19921875,0.1816681514060231,-27.526045,0.050939705,0.2656351,0.106448665,0.4771138737710674,0.49535185,0.2656351,0.27309567,0.40913229525231365,(0.33265063166618347-0.006547241937369108j),0.4771138737710674,0.11068503,9.067267,0.005816384108033302,21.202958026202694,9361.922977747543,5687.656311153771,3044.5943011089053
Corvidae,,,_12197,851328,0.0019612573,0.022764636,0.38483793,1025,0.0012197369414822627,5173.418571217204,7624.17175696689,21.823360832536505,2520.3852916760998,0.36711076,129.19921875,0.22538295313254433,-24.774652,0.022764636,0.2847146,0.03403099,0.5311616219745942,0.6625042,0.2847146,0.1727398,0.18916087361834377,(0.4746985137462616-0.0002564462192822248j),0.5311616219745942,0.047656506,37.85759,0.0012197369414822627,21.823360832536505,7624.17175696689,5173.418571217204,2520.3852916760998
Corvidae,,,_122295,346097,0.00083152397,0.017964978,0.2698598,1025,-0.005022190329804841,2600.855297177071,5501.621909959782,21.662868995713175,2331.170275053871,0.5624421,129.19921875,0.19258894229706203,-15.091806,0.017964978,0.26923215,0.033700738,0.12983369545118342,0.58497125,0.26923215,0.18573283,0.17117559154024314,(0.5056219100952148-0.01129406038671732j),0.12983369545118342,0.016166937,12.144325,-0.005022190329804841,21.662868995713175,5501.621909959782,2600.855297177071,2331.170275053871
Corvidae,,,_123338,704895,0.00087287,0.016684094,0.18099463,1025,-0.0001848470306373957,3090.8726966668974,5623.403033088235,22.515161292547923,2281.8305772196104,0.44107574,107.666015625,0.20815226336020984,-15.5045,0.016684094,0.2661806,0.027388984,0.1564163063952433,0.5145084,0.2661806,0.093446776,0.15039041137243006,(0.6750103831291199+0.0018295366317033768j),0.1564163063952433,0.012944754,22.973997,-0.0001848470306373957,22.515161292547923,5623.403033088235,3090.8726966668974,2281.8305772196104
Corvidae,,,_127111,273024,2.1588614e-05,0.0049175816,0.06800374,1025,-0.017320187473919942,4420.180477383792,7211.989910682935,22.305395217979157,2621.6918082476595,0.3949614,123.046875,0.25403676169425754,-34.969673,0.0049175816,0.27322528,0.009927781,0.40865483087546817,0.5680874,0.27322528,0.0137366215,0.03983475088793646,(0.4396500885486603-0.005480951629579067j),0.40865483087546817,0.09211594,2.6259885,-0.017320187473919942,22.305395217979157,7211.989910682935,4420.180477383792,2621.6918082476595
Corvidae,,,_127217,429120,0.0059360946,0.027817817,0.27392125,1025,-7.202030627000899e-05,3247.241479419325,6965.927047638558,17.92223376678675,2957.1634089772874,0.6124467,123.046875,0.2826619837148102,-3.2265084,0.027817817,0.2789551,0.037287995,0.18343137757002384,0.64914066,0.2789551,0.3086324,0.34985325882439344,(0.45907893776893616-0.002800907474011183j),0.18343137757002384,0.08172668,23.33915,-7.202030627000899e-05,17.92223376678675,6965.927047638558,3247.241479419325,2957.1634089772874
Corvidae,,,_127218,983808,1.12811955e-08,0.03872922,0.2677309,1025,0.00014990553680300456,3461.6907280900405,6135.556846404299,20.185718424444826,2444.0209606568237,0.37522438,123.046875,0.279676634262282,-4.5832567,0.03872922,0.27439007,0.039556608,0.24566720253967222,0.64285594,0.27439007,0.40926316,0.3771913589047986,(0.5705982446670532-0.0027464772574603558j),0.24566720253967222,0.036495283,74.43756,0.00014990553680300456,20.185718424444826,6135.556846404299,3461.6907280900405,2444.0209606568237
Corvidae,,,_147265,430769,0.0,0.022452189,0.13082361,1025,-0.006531379899013422,3328.721992168044,5852.849921364682,20.017484364354328,2226.4604230017917,0.45740455,123.046875,0.22719991510095544,-12.549679,0.022452189,0.27969378,0.056174707,0.25310655897416867,0.6035294,0.27969378,0.11062946,0.2763161578670001,(0.5380440354347229-0.006419265642762184j),0.25310655897416867,0.06440678,18.904743,-0.006531379899013422,20.017484364354328,5852.849921364682,3328.721992168044,2226.4604230017917
Corvidae,,,_152242,685440,1.8900729e-06,0.13704483,0.6055733,1025,-0.0004159930391995524,1685.234198188046,3303.151547330097,19.786252628457905,1986.0820279995214,0.563435,117.45383522727273,0.19987710037222606,2.3128324,0.13704483,0.2784766,0.09666368,0.07902024306852129,0.6886307,0.2784766,6.873025,1.1830075436880623,(0.6729340553283691-0.004548712633550167j),0.07902024306852129,0.0055389353,183.50304,-0.0004159930391995524,19.786252628457905,3303.151547330097,1685.234198188046,1986.0820279995214
Corvidae,,,_152431,584064,0.0027156936,0.013686816,0.12041323,1025,0.01007119032187963,4651.4157418056775,7517.937595858895,22.172244053751925,2595.7724635450977,0.38550675,135.99917763157896,0.24071615236527422,-29.593964,0.013686816,0.28195915,0.027361352,0.45105675873685364,0.6181714,0.28195915,0.04173678,0.1422160706689601,(0.5521724224090576-0.001844222890213132j),0.45105675873685364,0.07502664,15.616657,0.01007119032187963,22.172244053751925,7517.937595858895,4651.4157418056775,2595.7724635450977
Corvidae,,,_153933,1453713,0.0065763644,0.05874481,0.28574982,1025,-0.0023653567136044215,3005.1777402707007,4046.27842003191,21.17845070752636,1613.346551038965,0.36274654,117.45383522727273,0.2688838205978387,-11.511021,0.05874481,0.26999834,0.13881038,0.24749893403389084,0.55940974,0.26999834,0.5016562,0.6023899999399396,(0.5542243123054504-0.0024540924932807684j),0.24749893403389084,0.015884496,166.83527,-0.0023653567136044215,21.17845070752636,4046.27842003191,3005.1777402707007,1613.346551038965
Corvidae,,,_157152,771840,2.8354305e-06,0.016644103,0.083118945,1025,0.0016183850755802892,3033.8036192678205,5511.307677413171,20.001366179376895,2225.7122808017907,0.53691256,123.046875,0.2969979142189842,-16.855198,0.016644103,0.28599736,0.06410989,0.22424769717755305,0.70745957,0.28599736,0.040021274,0.29397285275375246,(0.5275651216506958-0.0035868403501808643j),0.22424769717755305,0.04071265,25.099308,0.0016183850755802892,20.001366179376895,5511.307677413171,3033.8036192678205,2225.7122808017907
Corvidae,,,_178583,724032,2.3368904e-07,0.022548629,0.11916173,1025,0.0016745659805555,4132.598381829747,6514.79832086462,20.655660922408494,2566.8247718804732,0.42717767,117.45383522727273,0.28025400432322667,-18.027657,0.022548629,0.28565818,0.051756464,0.4032896008171378,0.71329194,0.28565818,0.06383492,0.30371712073571805,(0.4893469214439392-0.003755647921934724j),0.4032896008171378,0.073829874,31.90631,0.0016745659805555,20.655660922408494,6514.79832086462,4132.598381829747,2566.8247718804732
Corvidae,,,_180579,674070,0.024121843,0.05495172,0.38223827,1025,-0.001954662890217851,3238.1264737600845,5858.854296430097,19.63082686089292,2382.1207564530364,0.5730691,123.046875,0.2932720210162847,-8.24055,0.05495172,0.28384712,0.19004709,0.2454983212319666,0.6754415,0.28384712,0.5951557,0.8985702365281305,(0.4748491048812866-0.0007647653110325336j),0.2454983212319666,0.09063122,72.371414,-0.001954662890217851,19.63082686089292,5858.854296430097,3238.1264737600845,2382.1207564530364
Corvidae,,,_193524,1784448,9.190609e-05,0.048654918,0.23537004,1025,-0.002479589024393262,3389.3498993991825,6207.149643495858,22.028213645415793,2280.16782262648,0.5350441,123.046875,0.2691174424148089,-15.245544,0.048654918,0.2829925,0.14340964,0.27564555095381527,0.6796987,0.2829925,0.38721403,0.6394488975797931,(0.5548367500305176-0.00117608776781708j),0.27564555095381527,0.032016836,169.61104,-0.002479589024393262,22.028213645415793,6207.149643495858,3389.3498993991825,2280.16782262648
Corvidae,,,_193525,1818432,7.8932584e-07,0.024366166,0.104403,1025,0.000704679218023407,3411.299134101921,5954.921846132021,19.557210285289504,2366.992287774245,0.5799465,135.99917763157896,0.24716773509157736,-16.163334,0.024366166,0.2870974,0.080203146,0.2617812972884994,0.72381264,0.2870974,0.07505976,0.401345664096724,(0.5800486207008362-0.0018301379168406129j),0.2617812972884994,0.08740208,86.54862,0.000704679218023407,19.557210285289504,5954.921846132021,3411.299134101921,2366.992287774245
Corvidae,,,_199753,170876,0.001335341,0.004481651,0.04743519,1025,-0.002242668331226531,5045.745693019155,7934.437350884169,19.849093892287847,2549.9086226370664,0.5807971,117.45383522727273,0.2606632687915564,-33.369404,0.004481651,0.27987516,0.010416938,0.4446356310815868,0.6621769,0.27987516,0.005124712,0.044637019096553564,(0.38140401244163513-0.005953594110906124j),0.4446356310815868,0.18935783,1.4968715,-0.002242668331226531,19.849093892287847,7934.437350884169,5045.745693019155,2549.9086226370664
