Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Corvidae,,,_101404,778176,0.0005758617,0.014812182,0.1411486,1025,0.008679007316424382,2968.1031550438383,5180.959504780017,20.11873193785771,2162.8949373296855,0.53309333,123.046875,0.27064093581601656,-27.53589,0.014812182,0.28019297,0.047343493,0.20114232113486843,0.6529737,0.28019297,0.0535156,0.22150275509676595,(0.44394323229789734-0.003618694609031081j),0.20114232113486843,0.0517439,22.514517,0.008679007316424382,20.11873193785771,5180.959504780017,2968.1031550438383,2162.8949373296855
Corvidae,,,_10149,1176192,5.284732e-06,0.019525088,0.23550768,1025,0.0006432001078374056,2416.920920873329,4346.5866845830615,19.998687589927943,2115.9403100652953,0.5227411,143.5546875,0.22014165557704604,-27.149052,0.019525088,0.2841187,0.05185609,0.14945337147791557,0.6701074,0.2841187,0.12728314,0.26753818515135913,(0.49371498823165894-0.002123461104929447j),0.14945337147791557,0.023538155,44.868652,0.0006432001078374056,19.998687589927943,4346.5866845830615,2416.920920873329,2115.9403100652953
Corvidae,,,_105655,979020,0.0028538206,0.013994414,0.047218807,1025,0.0009597133327592591,2017.528949631701,4208.154079917832,20.822129859867594,2303.2685641611765,0.6038118,123.046875,0.25440548916151856,-11.062613,0.013994414,0.26125085,0.003962391,0.05860778840499216,0.58644354,0.26125085,0.0252654,0.11339277146647887,(0.545624315738678-0.0009673408349044621j),0.05860778840499216,0.00566771,26.771315,0.0009597133327592591,20.822129859867594,4208.154079917832,2017.528949631701,2303.2685641611765
Corvidae,,,_10988,278784,4.611165e-10,0.02578539,0.050313387,1025,0.00347589892497409,1868.7051221129323,3840.7727386754586,20.28820534512296,2084.5400603678268,0.58469564,117.45383522727273,0.25494043269171834,-8.761184,0.02578539,0.2871681,0.07876506,0.09974197247706422,0.7709668,0.2871681,0.1421959,0.4551541791073054,(0.4839390814304352-0.011846858076751232j),0.09974197247706422,0.010627936,14.053038,0.00347589892497409,20.28820534512296,3840.7727386754586,1868.7051221129323,2084.5400603678268
Corvidae,,,_11285,814464,0.0029659942,0.028443696,0.33201918,1025,0.0007061184358210972,3586.643510007818,7110.328636912712,19.947392142303297,2763.012288461184,0.5724242,123.046875,0.20029552612926121,-26.410517,0.028443696,0.28196773,0.07061127,0.255085367889692,0.6838889,0.28196773,0.27682978,0.3410811280806709,(0.5081576704978943+1.552219373479602e-06j),0.255085367889692,0.07605643,45.25392,0.0007061184358210972,19.947392142303297,7110.328636912712,3586.643510007818,2763.012288461184
Corvidae,,,_114091,583708,0.0047002127,0.024907263,0.078135766,1025,-0.020380037921247093,2439.8493606926836,5148.228407783742,21.126752004616876,2535.185534290576,0.5936816,123.046875,0.2686897485486739,-6.5854726,0.024907263,0.262248,0.0034463159,0.08272066375438213,0.59478605,0.262248,0.09350619,0.16672466792999271,(0.5643278956413269+0.002764202654361725j),0.08272066375438213,0.00633654,28.419188,-0.020380037921247093,21.126752004616876,5148.228407783742,2439.8493606926836,2535.185534290576
Corvidae,,,_120562,311582,0.00506738,0.021552939,0.15024844,1025,-0.0037523862789791544,4393.480237310694,6892.6934603987065,19.695663043660208,2496.8390092950585,0.33901468,123.046875,0.20430137491514594,-22.323778,0.021552939,0.2840102,0.049326744,0.4070405505952381,0.7012916,0.2840102,0.09951439,0.2693649575177146,(0.49088725447654724-0.0019846188370138407j),0.4070405505952381,0.100459814,13.12574,-0.0037523862789791544,19.695663043660208,6892.6934603987065,4393.480237310694,2496.8390092950585
Corvidae,,,_120571,745344,0.0019647768,0.032135945,0.3228369,1025,-0.0007672741032812708,3134.0301380685464,5038.00048828125,20.689296471244468,2064.5981874084023,0.46984836,135.99917763157896,0.17292511124992402,-24.648888,0.032135945,0.28298774,0.09857119,0.24775209531679257,0.6552217,0.28298774,0.38884303,0.4352969313355344,(0.5928190350532532-0.0011460694950073957j),0.24775209531679257,0.047118492,46.789936,-0.0007672741032812708,20.689296471244468,5038.00048828125,3134.0301380685464,2064.5981874084023
Corvidae,,,_122357,838782,0.0001119181,0.006563018,0.11221324,1025,0.002186513918278589,3387.527872156041,5917.768283585647,18.977542688312084,2324.473686640452,0.5171028,123.046875,0.21460963823619444,-19.26664,0.006563018,0.27917796,0.0128433,0.2461369475480476,0.6032415,0.27917796,0.010610125,0.0737001382819583,(0.5987023115158081-0.006805868819355965j),0.2461369475480476,0.07238298,10.756786,0.002186513918278589,18.977542688312084,5917.768283585647,3387.527872156041,2324.473686640452
Corvidae,,,_12239,687349,0.00089767354,0.0059900433,0.049619835,1025,0.0013326696645127273,2793.723366517824,5684.581237929309,17.918817068953043,2625.999380731468,0.63250256,117.45383522727273,0.27638660554261657,-11.879724,0.0059900433,0.2831118,0.0147505915,0.16457114145104243,0.72749984,0.2831118,0.009463359,0.0937784216130478,(0.4725593328475952-0.002911126473918557j),0.16457114145104243,0.06513358,8.044628,0.0013326696645127273,17.918817068953043,5684.581237929309,2793.723366517824,2625.999380731468
Corvidae,,,_12240,630620,0.0058068475,0.010331972,0.028013824,1025,-0.0015271588605079997,2595.9388231439416,4885.249328613281,18.222225089342434,2326.1143687387375,0.6479362,135.99917763157896,0.28476373336790045,-8.029236,0.010331972,0.28317416,0.03278561,0.1627474698153409,0.73891926,0.28317416,0.018198963,0.19489693635923325,(0.47643616795539856-0.0005398756475187838j),0.1627474698153409,0.05254504,12.728989,-0.0015271588605079997,18.222225089342434,4885.249328613281,2595.9388231439416,2326.1143687387375
Corvidae,,,_12256,1234800,0.0016245763,0.0039168866,0.011291201,1025,-0.0017404832258624868,3097.6936495094583,6304.831706943796,17.456052217967454,2718.118327880488,0.6640489,129.19921875,0.28549505621012033,-13.474341,0.0039168866,0.28568438,0.015223884,0.19929648631840796,0.771767,0.28568438,0.0026299069,0.07689625057815562,(0.48280176520347595-0.0006349089089781046j),0.19929648631840796,0.106874876,9.447531,-0.0017404832258624868,17.456052217967454,6304.831706943796,3097.6936495094583,2718.118327880488
Corvidae,,,_12420,629716,0.0036973567,0.020160455,0.1697009,1025,-0.00856652166492898,4413.965196118521,7641.197182259909,17.997833325717096,2613.2425742600294,0.55566746,135.99917763157896,0.23067611458931114,-18.790726,0.020160455,0.2744603,0.035277657,0.3498122300558943,0.6591969,0.2744603,0.108108684,0.20403324796329186,(0.5141447186470032-0.0009158184984698892j),0.3498122300558943,0.2164207,24.79736,-0.00856652166492898,17.997833325717096,7641.197182259909,4413.965196118521,2613.2425742600294
Corvidae,,,_12620,1234800,0.002567502,0.00632142,0.053923823,1025,-0.005265307171541756,3047.2376425466837,6395.687182981576,18.29770994321829,2803.069521179245,0.62489665,99.38401442307692,0.2644967139721135,-10.883737,0.00632142,0.27295434,0.010686756,0.15539287611422056,0.60201585,0.27295434,0.008378227,0.09309257280575323,(0.5055837035179138+0.0002370107831666246j),0.15539287611422056,0.059375037,15.247265,-0.005265307171541756,18.29770994321829,6395.687182981576,3047.2376425466837,2803.069521179245
Corvidae,,,_12640,449049,0.0016556942,0.0030504672,0.0136893,1025,-0.005833566412220109,3476.129221067989,7281.656196611617,18.090538465351838,3023.810415750493,0.62625223,129.19921875,0.2776028918207724,-13.290339,0.0030504672,0.2749464,0.0027127326,0.17318690827875854,0.63304716,0.2749464,0.0018981539,0.04103181548358811,(0.4574470818042755-0.0003978296008426696j),0.17318690827875854,0.08803847,2.6783102,-0.005833566412220109,18.090538465351838,7281.656196611617,3476.129221067989,3023.810415750493
Corvidae,,,_12642,402594,0.01702578,0.037886925,0.3033613,1025,0.016712781877246435,2599.5120112564923,6102.5425989715695,19.056211618536736,2854.5868571104384,0.39050594,123.046875,0.27949747231892996,-2.3563154,0.037886925,0.27717108,0.04288334,0.10938368607052097,0.6205416,0.27717108,0.32969862,0.46630018762501557,(0.4480188488960266+0.0006503011099994183j),0.10938368607052097,0.02719471,29.81701,0.016712781877246435,19.056211618536736,6102.5425989715695,2599.5120112564923,2854.5868571104384
Corvidae,,,_127515,1225152,0.002496642,0.017593054,0.11435,1025,0.005229004566793459,4252.3143275400325,6109.265774361419,19.554260764551348,2445.841019002733,0.2934401,135.99917763157896,0.2016643564096851,-15.110919,0.017593054,0.28324395,0.030637862,0.4311048011126201,0.72312844,0.28324395,0.05073054,0.21003671247737196,(0.5550342202186584-0.002393050119280815j),0.4311048011126201,0.043367945,42.100178,0.005229004566793459,19.554260764551348,6109.265774361419,4252.3143275400325,2445.841019002733
Corvidae,,,_127516,1394496,0.004009445,0.027497917,0.14329986,1025,-0.00924315089537494,4354.914790174525,6006.8269301090995,19.96630191626355,2288.4686713855626,0.3026622,129.19921875,0.17868034930397045,-13.596891,0.027497917,0.2796497,0.05618964,0.43627553259223567,0.6805529,0.2796497,0.118691914,0.3410920996888733,(0.6335152387619019-0.0026161482091993093j),0.43627553259223567,0.03594321,74.90433,-0.00924315089537494,19.96630191626355,6006.8269301090995,4354.914790174525,2288.4686713855626
Corvidae,,,_127617,554112,0.006436468,0.016003294,0.037559066,1025,0.0006859510348802523,2088.489266307512,4421.991389478012,19.952126147685416,2498.0721283763974,0.55506504,107.666015625,0.27511145714582397,-5.2704954,0.016003294,0.28271374,0.026273552,0.09717833852723914,0.7157071,0.28271374,0.055498082,0.22941571178516834,(0.45721369981765747-0.004829925484955311j),0.09717833852723914,0.014290106,17.331568,0.0006859510348802523,19.952126147685416,4421.991389478012,2088.489266307512,2498.0721283763974
