Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Corvidae,,,_101994,3860928,0.0012124549,0.025924986,0.31277582,1025,-0.001061619383644233,5206.476603655708,7109.829067244895,21.705664616006896,2182.489026341038,0.34186172,117.45383522727273,0.22982942557435587,-21.970964,0.025924986,0.28629667,0.032900833,0.508047413721655,0.7110679,0.28629667,0.09797445,0.2551666794311902,(0.5486350059509277-0.0006477274582721293j),0.508047413721655,0.053979814,195.50032,-0.001061619383644233,21.705664616006896,7109.829067244895,5206.476603655708,2182.489026341038
Corvidae,,,_102290,764352,0.0019587942,0.010044397,0.1382871,1025,0.004180585279340331,2747.9693505980817,6384.313482449347,18.408233891905752,2842.284422450365,0.6577646,117.45383522727273,0.22087250636282912,-11.67856,0.010044397,0.27504355,0.013927749,0.10335013919122572,0.63883185,0.27504355,0.03782559,0.10718776907987614,(0.5001829862594604-0.0022941632196307182j),0.10335013919122572,0.021311672,14.9962845,0.004180585279340331,18.408233891905752,6384.313482449347,2747.9693505980817,2842.284422450365
Corvidae,,,_10977,1916234,0.0,0.07147301,0.42927614,1025,0.013562043751789987,1648.336495274957,3346.0141156721716,21.156139552289506,1837.7337960521356,0.6710037,123.046875,0.21570626488108405,-1.3757751,0.07147301,0.25156617,0.025466431,0.06686478822969544,0.5270146,0.25156617,1.0912663,0.6680422442588652,(0.4836193919181824+0.003612020518630743j),0.06686478822969544,0.04884106,267.52347,0.013562043751789987,21.156139552289506,3346.0141156721716,1648.336495274957,1837.7337960521356
Corvidae,,,_112256,949248,6.782645e-10,0.020166581,0.42656812,1025,-0.004426598317387806,3256.760438886018,5499.823850235849,18.276113524559644,2133.0503891016365,0.68076134,129.19921875,0.20232589742527649,-18.068932,0.020166581,0.28696966,0.044768322,0.2594544937668464,0.7534291,0.28696966,0.39432386,0.2414586962506791,(0.4910091161727905-0.0018783377017825842j),0.2594544937668464,0.09935274,37.409008,-0.004426598317387806,18.276113524559644,5499.823850235849,3256.760438886018,2133.0503891016365
Corvidae,,,_119635,1091881,3.4052275e-06,0.012549475,0.177163,1025,0.0027354020295807134,3027.7287207020436,5983.560270800369,20.68127688103825,2577.6716978933787,0.6541674,112.34714673913044,0.18637531786213027,-19.967073,0.012549475,0.27577382,0.022902519,0.11248805050105486,0.6463516,0.27577382,0.06973532,0.12450498515524608,(0.5416187047958374+0.001041887211613357j),0.11248805050105486,0.0144420285,26.76803,0.0027354020295807134,20.68127688103825,5983.560270800369,3027.7287207020436,2577.6716978933787
Corvidae,,,_119636,1034343,2.4825327e-05,0.0118799675,0.23982951,1025,0.0024888727702908216,3115.790744606119,6125.7328084410565,20.242233212992122,2655.467268058699,0.65726626,143.5546875,0.22399579760506363,-16.28945,0.0118799675,0.274016,0.020557273,0.12068278196128154,0.6397948,0.274016,0.060905244,0.12112403553721172,(0.4978950321674347-9.02172178030014e-05j),0.12068278196128154,0.018944161,24.009415,0.0024888727702908216,20.242233212992122,6125.7328084410565,3115.790744606119,2655.467268058699
Corvidae,,,_128752,81792,0.010123972,0.027673218,0.1726663,1025,-0.0024121822265632366,2813.3095124794017,5371.390228271484,20.130078779539133,2405.3048248570617,0.51819116,123.046875,0.14577501828724188,-3.9649518,0.027673218,0.27760115,0.027385779,0.1687286376953125,0.6824847,0.27760115,0.14041857,0.329029063475631,(0.3697333037853241-0.014693503268063068j),0.1687286376953125,0.025395531,4.427715,-0.0024121822265632366,20.130078779539133,5371.390228271484,2813.3095124794017,2405.3048248570617
Corvidae,,,_128753,114048,0.0060179713,0.021651369,0.10962052,1025,-0.007518274372061402,2800.4216146195226,5721.70037923907,19.542237857820382,2621.0055718151575,0.5690093,129.19921875,0.1988103462043727,-4.6877565,0.021651369,0.2789848,0.032002956,0.1457552375280269,0.6869751,0.2789848,0.10458917,0.28568129474253023,(0.4297177195549011-0.016161153092980385j),0.1457552375280269,0.029008383,4.828255,-0.007518274372061402,19.542237857820382,5721.70037923907,2800.4216146195226,2621.0055718151575
Corvidae,,,_143891,1171008,0.0004109048,0.013203691,0.1250741,1025,-0.0015093203402562984,3789.5415708064897,7213.717160525021,18.592544445340856,2742.864010077467,0.6334501,123.046875,0.19315087739016293,-16.754532,0.013203691,0.2838697,0.038323175,0.2494777866176792,0.70609266,0.2838697,0.049220376,0.17296824237806094,(0.6881557106971741-0.005157422740012407j),0.2494777866176792,0.09649058,30.210045,-0.0015093203402562984,18.592544445340856,7213.717160525021,3789.5415708064897,2742.864010077467
Corvidae,,,_143892,611712,0.00035294556,0.0040608784,0.04249872,1025,-0.002202272268992464,3216.548241098102,7162.249689461297,18.030558662904966,3047.9949564240596,0.72437286,117.45383522727273,0.23439651856911697,-16.345856,0.0040608784,0.27979085,0.004822137,0.16816528831066946,0.71467423,0.27979085,0.005907861,0.04300242405930241,(0.547696053981781-0.0007400498143397272j),0.16816528831066946,0.08855324,4.85275,-0.002202272268992464,18.030558662904966,7162.249689461297,3216.548241098102,3047.9949564240596
Corvidae,,,_154830,681408,0.00095863343,0.01735034,0.24393542,1025,0.0020951450574716295,3097.2514982274583,5094.0019545924115,19.713682796475986,2108.2495567245805,0.5734799,143.5546875,0.1753387375738285,-28.55575,0.01735034,0.28303865,0.037139863,0.236868132513148,0.67090243,0.28303865,0.09535524,0.20322253436405188,(0.5034259557723999-0.006033461540937424j),0.236868132513148,0.036637586,23.093304,0.0020951450574716295,19.713682796475986,5094.0019545924115,3097.2514982274583,2108.2495567245805
