Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Cotingidae,,,_13,97920,0.0,0.03609896,0.09709646,1025,0.0013248108763937987,3092.9945634784212,6014.4927978515625,19.47349333716797,2468.911520167763,0.37900892,123.046875,0.11421272633998164,-8.238132,0.03609896,0.28089815,0.07267608,0.2896270751953125,0.68115646,0.28089815,0.15776758,0.4603443654612788,(0.46872907876968384-0.014081675559282303j),0.2896270751953125,0.12161643,6.9310007,0.0013248108763937987,19.47349333716797,6014.4927978515625,3092.9945634784212,2468.911520167763
Cotingidae,,,_144692,695232,0.0014622816,0.0084025785,0.06950783,1025,0.000629977963995233,4905.001134269803,7685.966066970039,18.311127719953767,2503.566115040252,0.5198992,129.19921875,0.24743797348243474,-28.696224,0.0084025785,0.2852042,0.009893916,0.4274862792249632,0.67433095,0.2852042,0.0071420176,0.0522922940229445,(0.533635675907135+0.0007949573919177055j),0.4274862792249632,0.1500581,11.410702,0.000629977963995233,18.311127719953767,7685.966066970039,4905.001134269803,2503.566115040252
Cotingidae,,,_146993,1364807,0.0003121622,0.030965233,0.4830298,1025,0.005015955146899517,4422.084274084623,7451.998674717507,18.843543804589032,2560.044566707674,0.4606268,123.046875,0.26646527148751475,-23.311275,0.030965233,0.28413418,0.0017575123,0.34878281337912603,0.7328873,0.28413418,0.2078618,0.008805286465254941,(0.4459015727043152-0.0005009841406717896j),0.34878281337912603,0.13743624,82.553314,0.005015955146899517,18.843543804589032,7451.998674717507,4422.084274084623,2560.044566707674
Cotingidae,,,_152916,252864,0.0026523697,0.007163425,0.009783874,1025,-0.001728256818258565,2046.1601626234824,4029.0192268155365,20.245459705655573,2328.998316443418,0.60657436,129.19921875,0.27544541600548683,-28.623428,0.007163425,0.28739387,0.024313571,0.13816975581983806,0.74013007,0.28739387,0.01073188,0.12172127173387727,(0.41844841837882996-0.004396097734570503j),0.13816975581983806,0.0144691095,3.538732,-0.001728256818258565,20.245459705655573,4029.0192268155365,2046.1601626234824,2328.998316443418
Cotingidae,,,_152917,1059840,0.0032420459,0.013198583,0.12795179,1025,-1.930516724645936e-06,2491.822392471661,5235.172930781477,20.262689132064434,2625.6883099411225,0.5522809,123.046875,0.31057834163458076,-28.077616,0.013198583,0.28731573,0.023068244,0.1651753380009657,0.73272437,0.28731573,0.026363265,0.13014585487136843,(0.4493827521800995-0.001082566217519343j),0.1651753380009657,0.017038638,27.334267,-1.930516724645936e-06,20.262689132064434,5235.172930781477,2491.822392471661,2625.6883099411225
Cotingidae,,,_155428,2007360,0.0068374407,0.020030927,0.24055488,1025,-0.0031428881725668197,2722.866340444345,5947.068706065895,18.82948335029588,2819.5359146274304,0.5910014,123.046875,0.2954615707027997,-5.690239,0.020030927,0.2839912,0.01943157,0.15333002582249425,0.75706774,0.2839912,0.07306577,0.2347819814861013,(0.5244721174240112-0.0004483223892748356j),0.15333002582249425,0.0228159,78.54127,-0.0031428881725668197,18.82948335029588,5947.068706065895,2722.866340444345,2819.5359146274304
Cotingidae,,,_1999,376704,0.021424476,0.07372297,0.2544929,1025,-0.0020435350233162014,2923.4225453030945,5283.22697515073,19.201861063808593,2337.145633850671,0.54077345,129.19921875,0.287225457177433,-1.469936,0.07372297,0.28347352,0.14992431,0.2667090374490489,0.75064105,0.28347352,0.5987119,0.9931826881653091,(0.4651990234851837-0.0015163057250902057j),0.2667090374490489,0.035638746,54.26011,-0.0020435350233162014,19.201861063808593,5283.22697515073,2923.4225453030945,2337.145633850671
Cotingidae,,,_228250,1647151,0.00028463374,0.0068448624,0.14519377,1025,-0.006081851194176944,6664.234327586534,9168.092459043855,18.898779147998628,2623.428113593009,0.5599038,129.19921875,0.2906483574239262,-21.856571,0.0068448624,0.27538475,0.00086541905,0.6320483656385955,0.606365,0.27538475,0.008205821,0.003480321589976764,(0.4645500183105469-0.00039106819895096123j),0.6320483656385955,0.16451791,22.026768,-0.006081851194176944,18.898779147998628,9168.092459043855,6664.234327586534,2623.428113593009
Cotingidae,,,_228251,2409507,0.0006948322,0.007378905,0.20203003,1025,0.0004537574843763508,7209.004118628631,9375.013163987811,19.16509790332214,2335.7087697306874,0.5648135,123.046875,0.2953185393917832,-25.703375,0.007378905,0.28134984,0.00017783161,0.6795107353409815,0.70769143,0.28134984,0.011452892,-0.00315687860246808,(0.40483132004737854-0.0002792049781419337j),0.6795107353409815,0.11390651,34.732506,0.0004537574843763508,19.16509790332214,9375.013163987811,7209.004118628631,2335.7087697306874
Cotingidae,,,_228252,139668,0.022251219,0.040876642,0.103254095,1025,0.001453370651635984,2847.2985946923486,5829.503455528846,19.988080941549956,2558.8332800452135,0.582932,123.046875,0.2608962634742845,-6.6206603,0.040876642,0.2874347,0.12751357,0.2643658424908425,0.7787786,0.2874347,0.23011038,0.6544956003421173,(0.3926566541194916+0.004743579775094986j),0.2643658424908425,0.027944196,11.159324,0.001453370651635984,19.988080941549956,5829.503455528846,2847.2985946923486,2558.8332800452135
