Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Cotingidae,,,_102333,1055232,0.00080397027,0.009300082,0.119024575,1025,0.0021320394554507497,6304.4038973089255,8914.370150339477,19.323823899731856,2397.9685829469054,0.6367253,123.046875,0.1921077609906666,-32.15627,0.009300082,0.28432345,0.0036790422,0.5971783879425315,0.68495166,0.28432345,0.01313635,0.011140022430128618,(0.5445663928985596-0.0017901258543133736j),0.5971783879425315,0.21057881,19.17677,0.0021320394554507497,19.323823899731856,8914.370150339477,6304.4038973089255,2397.9685829469054
Cotingidae,,,_102731,86789,0.0014232992,0.04922952,0.17329553,1025,-0.00338830304725431,5447.851559196862,7148.453440946691,19.601827800719917,2094.0444601660906,0.32721826,123.046875,0.16527253663307545,-14.327614,0.04922952,0.2833049,0.007028822,0.5092744715073529,0.73771906,0.2833049,0.1549947,0.050444209506959714,(0.38363754749298096-0.008466022089123726j),0.5092744715073529,0.07392821,8.369019,-0.00338830304725431,19.601827800719917,7148.453440946691,5447.851559196862,2094.0444601660906
Cotingidae,,,_102732,93669,0.004858105,0.1034733,0.3667719,1025,-0.0035418731368747802,4359.367240138326,6766.0736584272545,19.37484902071918,2512.6316020349113,0.45086816,123.046875,0.18061454758339718,-6.894595,0.1034733,0.28312933,0.012932763,0.35503116461748635,0.7531346,0.28312933,0.76931703,0.10732784667269556,(0.3900126814842224-0.019251273944973946j),0.35503116461748635,0.024490029,18.935614,-0.0035418731368747802,19.37484902071918,6766.0736584272545,4359.367240138326,2512.6316020349113
Cotingidae,,,_104684,585825,0.0009941765,0.007946774,0.0397619,1025,-0.003493341738563287,2004.017229814624,5292.4381865788755,19.773262983919928,2821.8808167271436,0.72050893,123.046875,0.2963363702445251,-13.7112255,0.007946774,0.2645615,0.000112464004,0.03417414369541485,0.6096675,0.2645615,0.0094113825,0.04560551750370614,(0.46126818656921387-0.0013588969595730305j),0.03417414369541485,0.0038115606,9.099056,-0.003493341738563287,19.773262983919928,5292.4381865788755,2004.017229814624,2821.8808167271436
Cotingidae,,,_122203,1167945,0.0044379854,0.009831804,0.030288208,1025,-0.000452186307619544,1710.0450318971432,3454.720301715874,19.106946787917835,2268.0649294810028,0.63695824,123.046875,0.2799464933793396,-10.478484,0.009831804,0.27746677,0.008051524,0.06726769623685364,0.6810707,0.27746677,0.014744823,0.12017446019231673,(0.48106861114501953-0.0014487243024632335j),0.06726769623685364,0.0069883,22.436176,-0.000452186307619544,19.106946787917835,3454.720301715874,1710.0450318971432,2268.0649294810028
Cotingidae,,,_12599,330624,0.00068717694,0.007939029,0.0652838,1025,0.021600084475058554,7719.807336527216,9187.911108625194,25.671046475911616,1303.4284525997043,0.47235924,117.45383522727273,0.1458428722173315,-37.482353,0.007939029,0.2709008,4.005552e-07,0.6719218629063467,0.572754,0.2709008,0.0069717853,-0.00565904201635932,(0.06375052034854889-0.0016005553770810366j),0.6719218629063467,0.0023052474,5.1286125,0.021600084475058554,25.671046475911616,9187.911108625194,7719.807336527216,1303.4284525997043
Cotingidae,,,_128190,689548,0.0013900143,0.03719022,0.18243404,1025,0.0038865688488753784,3265.539834162071,5344.350781684994,21.312888348950317,2252.4437751885816,0.41463265,117.45383522727273,0.2786911061595909,-9.579663,0.03719022,0.2850834,0.08447508,0.2880761501252784,0.6994508,0.2850834,0.1711827,0.49162186051858764,(0.5375505685806274-0.002362529980018735j),0.2880761501252784,0.031597357,50.09523,0.0038865688488753784,21.312888348950317,5344.350781684994,3265.539834162071,2252.4437751885816
Cotingidae,,,_128196,118541,0.00027559785,0.010711982,0.029117122,1025,0.0005672848428677813,2796.5456046777995,4893.374002390894,21.906666630817476,2369.4827763258763,0.46153444,129.19921875,0.20364802164451956,-11.739454,0.010711982,0.28439832,0.014941499,0.21646433863146552,0.75116765,0.28439832,0.012669037,0.13917944171547278,(0.4919588565826416-0.020070089027285576j),0.21646433863146552,0.014288231,2.48518,0.0005672848428677813,21.906666630817476,4893.374002390894,2796.5456046777995,2369.4827763258763
Cotingidae,,,_129048,415510,0.0038152426,0.0056532673,0.0089056585,1025,-0.006085753949113016,3981.613059310869,8067.605485587284,17.047474435583823,3177.1748828611076,0.6743779,123.046875,0.3010256234031358,-10.617789,0.0056532673,0.28433675,0.019424276,0.2869476168026478,0.7610362,0.28433675,0.0049527013,0.10081720711348464,(0.42429712414741516-0.00035559351090341806j),0.2869476168026478,0.20326854,4.590453,-0.006085753949113016,17.047474435583823,8067.605485587284,3981.613059310869,3177.1748828611076
Cotingidae,,,_129221,248411,0.0032971064,0.011611393,0.03067589,1025,-0.006112499269291761,3757.384509400028,7803.748010706018,17.35706328312632,3144.962841138192,0.60124105,129.19921875,0.26848545320978917,-9.000246,0.011611393,0.28483278,0.036155332,0.2613158677340535,0.7543306,0.28483278,0.02064728,0.19143065230546988,(0.40955397486686707-0.0023832153528928757j),0.2613158677340535,0.15341634,5.643137,-0.006112499269291761,17.35706328312632,7803.748010706018,3757.384509400028,3144.962841138192
