Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Cotingidae,,,_1182,55296,0.0073997225,0.09350236,0.3034183,1025,0.00032965181147424845,3694.0067159875384,7469.058199541284,19.85233209744364,3046.769647041961,0.40097007,103.359375,0.07356329150015131,-2.0735455,0.09350236,0.28021306,0.1539069,0.24303415280963303,0.61542636,0.28021306,2.4070256,1.046148459014566,(0.33994928002357483-0.02927505411207676j),0.24303415280963303,0.07486565,10.191757,0.00032965181147424845,19.85233209744364,7469.058199541284,3694.0067159875384,3046.769647041961
Cotingidae,,,_148171,1925994,9.975983e-06,0.009084462,0.057702743,1025,-0.0016071244042576377,3325.0759861810307,4980.686549136513,19.250961937384268,2214.4229569656177,0.32538095,129.19921875,0.23602841588275894,-13.138218,0.009084462,0.27877012,0.016175523,0.28573538634702284,0.6660944,0.27877012,0.018960517,0.11347429931113363,(0.5296087265014648+0.003063682932406664j),0.28573538634702284,0.035707824,34.175747,-0.0016071244042576377,19.250961937384268,4980.686549136513,3325.0759861810307,2214.4229569656177
Cotingidae,,,_15084,572544,0.00071710336,0.13602425,0.3880821,1025,-0.004144131174147573,3526.5423684925254,6273.1089246816355,19.3682211846119,2550.822737713134,0.47082728,123.046875,0.2681833966244336,3.8791776,0.13602425,0.28311056,0.2745367,0.2650935196045576,0.7128249,0.28311056,3.0066128,2.1506469127379684,(0.4892122149467468-0.006063544191420078j),0.2650935196045576,0.074883334,152.21114,-0.004144131174147573,19.3682211846119,6273.1089246816355,3526.5423684925254,2550.822737713134
Cotingidae,,,_170427,637632,2.182631e-05,0.005922916,0.066633515,1025,-0.0017105584736479655,3458.9649907836224,7292.333298586727,20.1027905626142,2890.645179397105,0.5582246,123.046875,0.26894483121716445,-15.525348,0.005922916,0.28526932,0.015263394,0.3230372347762841,0.75464886,0.28526932,0.014760759,0.08617068110948034,(0.5141421556472778-0.002533123129978776j),0.3230372347762841,0.033312943,7.3799534,-0.0017105584736479655,20.1027905626142,7292.333298586727,3458.9649907836224,2890.645179397105
Cotingidae,,,_173776,1036800,7.1657183e-07,0.01634673,0.07914639,1025,-0.003171300153958089,3274.273758926054,6551.0837987992045,21.197803973095883,2445.0437936884364,0.29037023,123.046875,0.2878909229233091,-13.99221,0.01634673,0.27589962,0.035954878,0.2674537651159921,0.57972944,0.27589962,0.04808528,0.20262526679294923,(0.5417621731758118-0.0031788458582013845j),0.2674537651159921,0.019104365,33.118477,-0.003171300153958089,21.197803973095883,6551.0837987992045,3274.273758926054,2445.0437936884364
Cotingidae,,,_188650,420185,0.0,0.0039723315,0.044839583,1025,0.0004009651172574773,4961.117966712454,7602.637016119824,22.377032310404633,2828.9066890222457,0.4035223,129.19921875,0.26988572960230583,-33.326252,0.0039723315,0.28498337,0.0057028383,0.5143064622031059,0.7197484,0.28498337,0.003967301,0.037064509069833045,(0.4111441671848297-0.0028840163722634315j),0.5143064622031059,0.07067225,3.261284,0.0004009651172574773,22.377032310404633,7602.637016119824,4961.117966712454,2828.9066890222457
Cotingidae,,,_20068,1332288,0.0,0.008780439,0.3268234,1025,0.0020307886437958473,4043.3867323526183,7481.067415076955,18.652257144007976,2868.7169299545867,0.69814354,129.19921875,0.26709334216273184,-19.722496,0.008780439,0.2865486,0.024957383,0.3187234756170764,0.7614854,0.2865486,0.09948262,0.12838733101092076,(0.46093323826789856-0.0013018077006563544j),0.3187234756170764,0.2196551,22.855484,0.0020307886437958473,18.652257144007976,7481.067415076955,4043.3867323526183,2868.7169299545867
Cotingidae,,,_202351,171461,0.002002011,0.024239847,0.25239798,1025,-0.0025595917430069883,3309.8403197268894,5735.609695662313,19.37225668861044,2482.729977944087,0.49762297,135.99917763157896,0.23041063345649473,-16.509777,0.024239847,0.2820637,0.051904686,0.28787459188432835,0.71797585,0.2820637,0.38405707,0.28699979313248747,(0.43868711590766907-0.012572967447340488j),0.28787459188432835,0.071330644,8.120349,-0.0025595917430069883,19.37225668861044,5735.609695662313,3309.8403197268894,2482.729977944087
Cotingidae,,,_214743,757752,0.00014326455,0.019199148,0.12122304,1025,0.00015132817214373213,2950.9752059820553,6214.620641759924,18.822936106009823,2735.855382434143,0.56432295,117.45383522727273,0.2896296597922491,-6.2712126,0.019199148,0.2806793,0.0504733,0.18480521537162162,0.69305843,0.2806793,0.08767327,0.30549488405629177,(0.47860512137413025-0.0034485177602618933j),0.18480521537162162,0.059664916,28.414738,0.00015132817214373213,18.822936106009823,6214.620641759924,2950.9752059820553,2735.855382434143
Cotingidae,,,_229131,45500,0.006829595,0.021217963,0.110901386,1025,0.007264562846470764,3858.070550002558,7064.826193820225,19.160315106292362,2784.366761310334,0.5372299,151.99908088235293,0.14181681060410858,-15.586203,0.021217963,0.2828954,0.054285474,0.2990311183286517,0.7057284,0.2828954,0.11736826,0.2925605954688559,(0.25010916590690613-0.0040716310031712055j),0.2990311183286517,0.13622752,1.8883986,0.007264562846470764,19.160315106292362,7064.826193820225,3858.070550002558,2784.366761310334
Cotingidae,,,_229132,660389,0.0226625,0.047217317,0.45787784,1025,-0.00045513317286717005,2087.1501676575863,4113.050451944041,19.696417933729496,2282.5457019353753,0.6353091,123.046875,0.2934546786623351,-9.811578,0.047217317,0.28680167,0.16311006,0.12160209241763566,0.7592893,0.28680167,0.747825,0.8236149183521102,(0.4770253598690033-0.00041213471558876336j),0.12160209241763566,0.022477707,60.91034,-0.00045513317286717005,19.696417933729496,4113.050451944041,2087.1501676575863,2282.5457019353753
Cotingidae,,,_247154,155991,0.00060026697,0.05937169,0.2621725,1025,0.002457367140834781,2007.5875655395644,4432.662813780737,19.56919723207456,2467.1073173444033,0.60151136,112.34714673913044,0.23693359499506444,-0.17340164,0.05937169,0.27255887,0.035115466,0.09468493852459016,0.6389167,0.27255887,1.2136174,0.5985504626704966,(0.4217770993709564-0.00819537602365017j),0.09468493852459016,0.0064434777,18.108366,0.002457367140834781,19.56919723207456,4432.662813780737,2007.5875655395644,2467.1073173444033
Cotingidae,,,_247156,440846,0.00023331246,0.027755016,0.10234174,1025,-0.0010913229623970406,2749.170834894063,6355.692271787993,18.65878494659172,2903.6804194521114,0.6270102,117.45383522727273,0.27515488396206245,-2.1083467,0.027755016,0.2787962,0.043395657,0.1307715750072506,0.6966938,0.2787962,0.18311942,0.40406392026568794,(0.4533555507659912-0.006173474248498678j),0.1307715750072506,0.03915653,23.924824,-0.0010913229623970406,18.65878494659172,6355.692271787993,2749.170834894063,2903.6804194521114
Cotingidae,,,_286568,1993536,0.0042543313,0.010907361,0.089594245,1025,-0.0001360298888559261,7248.241623333538,9289.66105832892,19.285415989792877,2281.2191157165216,0.3115758,123.046875,0.27552779752387935,-29.078075,0.010907361,0.28714448,0.0015079695,0.7295704328775039,0.7311381,0.28714448,0.005350685,0.006214341878099479,(0.5071240067481995-0.0005007219733670354j),0.7295704328775039,0.033863693,42.473267,-0.0001360298888559261,19.285415989792877,9289.66105832892,7248.241623333538,2281.2191157165216
Cotingidae,,,_286569,899136,0.003673036,0.008345786,0.039549384,1025,0.0002081173048325302,6647.88905845178,8269.73045318725,19.294856776986947,2300.9350433057098,0.23235235,123.046875,0.27967591349723964,-29.351454,0.008345786,0.28714582,0.003041644,0.6796310850348606,0.7333462,0.28714582,0.0035981415,0.027988426801690388,(0.4995894432067871-0.0011924725258722901j),0.6796310850348606,0.04068682,14.663546,0.0002081173048325302,19.294856776986947,8269.73045318725,6647.88905845178,2300.9350433057098
Cotingidae,,,_286570,1510272,0.00013771116,0.009036357,0.08656789,1025,0.00012433750297074649,6089.825093520728,8625.679265426377,19.1706963916129,2651.145574024432,0.32418203,123.046875,0.25593877803905773,-28.857513,0.009036357,0.28648552,0.011699254,0.6227236162605932,0.7082169,0.28648552,0.011053139,0.06583703558872779,(0.5472798347473145-0.004163775593042374j),0.6227236162605932,0.08723035,26.657253,0.00012433750297074649,19.1706963916129,8625.679265426377,6089.825093520728,2651.145574024432
Cotingidae,,,_286571,1613376,0.0034400083,0.010501045,0.11832923,1025,0.0019032037572139185,6347.43488901299,8881.428380666046,19.10410384384423,2634.96611401152,0.28487432,123.046875,0.27921333276041793,-28.444782,0.010501045,0.28639045,0.007238324,0.6608629565553616,0.7182081,0.28639045,0.01931211,0.05047355178086777,(0.4828279912471771-0.0008973758667707443j),0.6608629565553616,0.079311036,33.099293,0.0019032037572139185,19.10410384384423,8881.428380666046,6347.43488901299,2634.96611401152
Cotingidae,,,_387913,682082,0.00037534782,0.009004757,0.10399947,1025,-0.002907568593370707,5113.162460357194,8268.03114963311,20.91768391120703,2890.081481839211,0.4030212,129.19921875,0.2689138319790012,-21.542927,0.009004757,0.28250706,0.017419526,0.496065178403976,0.6740903,0.28250706,0.036794,0.094575022997055,(0.5461903810501099-0.002073836512863636j),0.496065178403976,0.07793762,12.003341,-0.002907568593370707,20.91768391120703,8268.03114963311,5113.162460357194,2890.081481839211
Cotingidae,,,_387915,252888,0.0025789011,0.0058387886,0.026684517,1025,-0.0001511399090555192,5359.401662981384,8539.135544502784,21.014967996371496,3027.895536494987,0.32102343,112.34714673913044,0.2397904206070489,-20.932743,0.0058387886,0.28438047,0.008163493,0.5789196925607287,0.69471186,0.28438047,0.0045336187,0.052542760805372145,(0.5233156681060791+0.0006600178894586861j),0.5789196925607287,0.05644601,2.8843615,-0.0001511399090555192,21.014967996371496,8539.135544502784,5359.401662981384,3027.895536494987
Cotingidae,,,_387916,1430817,5.8888225e-05,0.0060105273,0.08035683,1025,-0.00022167444726024817,5139.176365626488,8392.941497093023,21.2117655352013,2995.1281156355644,0.39896786,123.046875,0.27074730608350567,-22.141968,0.0060105273,0.2792116,0.010965451,0.4971466555791592,0.61861753,0.2792116,0.017502312,0.061915085290843594,(0.5207222104072571-0.004748964216560125j),0.4971466555791592,0.07567245,16.799423,-0.00022167444726024817,21.2117655352013,8392.941497093023,5139.176365626488,2995.1281156355644
Cotingidae,,,_392085,600706,0.007597734,0.015156222,0.04808928,1025,-0.0029493792071766853,2789.82794829006,6495.956602860147,19.063383237644356,2833.1810412075542,0.64155734,117.45383522727273,0.26712154431517854,-5.410988,0.015156222,0.27276087,0.019799015,0.12097978998083475,0.64720154,0.27276087,0.04442844,0.22973589479736684,(0.4760293662548065-9.30813403101638e-05j),0.12097978998083475,0.044907402,17.793404,-0.0029493792071766853,19.063383237644356,6495.956602860147,2789.82794829006,2833.1810412075542
Cotingidae,,,_40353,489024,0.0041439235,0.023443429,0.17549644,1025,0.0012190160290773183,5584.640761277155,7942.294477518632,20.661268530426067,2398.263071547468,0.34500408,117.45383522727273,0.2669520347356324,-13.933703,0.023443429,0.28289178,0.014950707,0.5484297365324268,0.72321707,0.28289178,0.15607692,0.16680147288198147,(0.47606122493743896-0.0018515894189476967j),0.5484297365324268,0.050828684,22.411919,0.0012190160290773183,20.661268530426067,7942.294477518632,5584.640761277155,2398.263071547468
Cotingidae,,,_417482,334360,0.010564039,0.032636873,0.16411483,1025,-0.0023960891693724485,4258.1238822211835,7612.464722799598,20.032779426447394,3013.8004563232644,0.48863456,143.5546875,0.1965503782483111,-5.059242,0.032636873,0.28491542,0.08144672,0.37572644901567276,0.7407136,0.28491542,0.20060103,0.46953417699405614,(0.5493139624595642-0.0025506308302283287j),0.37572644901567276,0.07429474,21.344515,-0.0023960891693724485,20.032779426447394,7612.464722799598,4258.1238822211835,3013.8004563232644
Cotingidae,,,_417483,81952,0.005745163,0.03628983,0.32538643,1025,0.0034552543328778794,4030.3324811709667,7354.525093410326,20.41474342266059,3081.2597031915034,0.48820758,135.99917763157896,0.17866492582169305,-5.9430633,0.03628983,0.27986318,0.04451311,0.3035744613742236,0.7070583,0.27986318,0.8244572,0.3645016834013322,(0.3590182960033417-0.006175072863698006j),0.3035744613742236,0.051358756,5.842663,0.0034552543328778794,20.41474342266059,7354.525093410326,4030.3324811709667,3081.2597031915034
Cotingidae,,,_425514,2045891,0.002328151,0.010541504,0.14480944,1025,0.0011162735542021211,2889.91255768875,5808.595014692427,18.618528976605575,2558.965313434088,0.48123285,123.046875,0.2558293319309196,-11.11603,0.010541504,0.27829924,0.022410875,0.1799488697682057,0.6641602,0.27829924,0.036560584,0.13873671288009493,(0.49612870812416077+0.0005221538012847304j),0.1799488697682057,0.041956425,42.12385,0.0011162735542021211,18.618528976605575,5808.595014692427,2889.91255768875,2558.965313434088
Cotingidae,,,_494143,2001856,1.0354202e-05,0.02003356,0.41883734,1025,0.0008737272945631685,4181.890665602463,7342.535890545077,20.29528461496431,2806.790061100138,0.4915173,129.19921875,0.2623849514015007,-19.111797,0.02003356,0.28498095,0.048247725,0.3807976842231458,0.7147141,0.28498095,0.22421256,0.24562968232311197,(0.5229406356811523-0.0010529787978157401j),0.3807976842231458,0.098964274,78.33122,0.0008737272945631685,20.29528461496431,7342.535890545077,4181.890665602463,2806.790061100138
