Familia,Genero,Especie,id,Longitud de onda,Intensidad miníma,Intensidad media,Intensidad máxima,Tonos principales,Melodía,Centroide espectral,Rolloff espectral,Contraste espectral,Ancho de banda espectral,Croma,Tempo,Pulso,Coeficientes MFCC,RMS,Cens,Piptrack,Cruces por cero,Cromagrama CQT,Cromagrama CENS,Melspectrogram,Polynomial coefficients,Fourier tempogram,Ceros Cruzados,Perceptrual Sharpness,Loudness,Tonnetz,Contraste,Rolloff,Centroide,Bandwidth
Donacobiidae,,,_109021,2377728,0.016751591,0.105270416,0.25862697,1025,0.008390082132753753,3893.3982437909654,6200.134679426803,23.24314571738998,2478.6393270166523,0.27687496,123.046875,0.27087913533616825,-1.5114388,0.105270416,0.27933446,0.08048503,0.332183463401507,0.6609938,0.27933446,1.1993914,0.8889509218131251,(0.7420662641525269-0.0018169841496273875j),0.332183463401507,0.0062922514,488.98108,0.008390082132753753,23.24314571738998,6200.134679426803,3893.3982437909654,2478.6393270166523
Donacobiidae,,,_109022,2432448,0.015987664,0.09127911,0.20569493,1025,0.007746218593271763,4139.787487114429,6354.212106661756,22.61489458403782,2492.8628173017505,0.2614813,117.45383522727273,0.26858617936585427,-1.8237358,0.09127911,0.27965298,0.06657827,0.36945583413360344,0.68373275,0.27965298,0.6480148,0.7365154016498832,(0.7005713582038879+5.535766467801295e-05j),0.36945583413360344,0.008955934,433.66705,0.007746218593271763,22.61489458403782,6354.212106661756,4139.787487114429,2492.8628173017505
Donacobiidae,,,_109560,711360,0.0072634444,0.0287652,0.20153302,1025,0.0002608995912714528,1877.143303341391,3794.8475087117804,21.13746481287251,1826.6981902559262,0.533034,117.45383522727273,0.2702065271937289,-5.4032207,0.0287652,0.2824581,0.041146368,0.11769966839028777,0.7030881,0.2824581,0.42866948,0.3578546594492489,(0.5027934908866882+2.7904982289328473e-06j),0.11769966839028777,0.0005094742,39.983627,0.0002608995912714528,21.13746481287251,3794.8475087117804,1877.143303341391,1826.6981902559262
Donacobiidae,,,_109746,611136,1.3352922e-06,0.009427762,0.05420732,1025,0.0015715543179859476,3210.4827922928307,5519.921200239479,18.545501913900576,2126.704135811001,0.56878835,135.99917763157896,0.20654437456645072,-16.281082,0.009427762,0.28658387,0.031937037,0.24930683691896985,0.7224675,0.28658387,0.019329816,0.15752252498393318,(0.5180408954620361-0.002644340042024851j),0.24930683691896985,0.07149282,11.256747,0.0015715543179859476,18.545501913900576,5519.921200239479,3210.4827922928307,2126.704135811001
Donacobiidae,,,_113594,852542,0.009636645,0.032494742,0.24398334,1025,0.0001793107692024876,5623.111962914769,9048.895622702206,19.95018752988168,3370.2324657862378,0.36164236,129.19921875,0.2675333719764073,-5.589324,0.032494742,0.28150964,0.021796625,0.4633279092887155,0.7011808,0.28150964,0.10754123,0.21208323785934627,(0.5125201344490051-0.0011986475437879562j),0.4633279092887155,0.048111074,54.136242,0.0001793107692024876,19.95018752988168,9048.895622702206,5623.111962914769,3370.2324657862378
Donacobiidae,,,_113869,372096,0.026280604,0.066425614,0.3123165,1025,0.002705435218656388,4434.15979031803,6558.711555407496,21.02252318337977,2275.9145865052697,0.46274582,117.45383522727273,0.255684615192666,-9.563044,0.066425614,0.28598958,0.14478275,0.40808223005502064,0.7205295,0.28598958,0.4699627,0.9391166949498853,(0.48904940485954285-0.004357040859758854j),0.40808223005502064,0.061141495,48.29142,0.002705435218656388,21.02252318337977,6558.711555407496,4434.15979031803,2275.9145865052697
Donacobiidae,,,_113870,253440,0.00061381434,0.10161175,0.21362768,1025,0.015867680493125723,3508.415035610888,5022.055250598538,21.47131323606232,1922.9922894619187,0.345831,135.99917763157896,0.21618549282035304,-20.042282,0.10161175,0.27134135,0.18023592,0.27567906533518144,0.48405415,0.27134135,1.5461326,1.1165015046847266,(0.7024490833282471-0.021948035806417465j),0.27567906533518144,0.029127479,50.399426,0.015867680493125723,21.47131323606232,5022.055250598538,3508.415035610888,1922.9922894619187
Donacobiidae,,,_113871,222912,0.024676314,0.06293989,0.15347266,1025,0.0011360459824751703,4451.258781502622,6710.432588069811,20.9303183085525,2336.474931354441,0.4680143,123.046875,0.2501931391404432,-12.305714,0.06293989,0.28585073,0.14145112,0.40915504945527525,0.6958342,0.28585073,0.32149783,0.8969306012220791,(0.45784318447113037-0.0048328423872590065j),0.40915504945527525,0.06859267,27.441793,0.0011360459824751703,20.9303183085525,6710.432588069811,4451.258781502622,2336.474931354441
Donacobiidae,,,_113872,291456,0.0007251895,0.08223189,0.19051914,1025,0.002295572788265725,3860.398893917039,5732.063116776316,22.079338232991656,2069.7559192306985,0.32507756,95.703125,0.2048089524776723,-18.832045,0.08223189,0.27259707,0.13829562,0.32538805509868424,0.486422,0.27259707,0.9986112,0.8964212101729325,(0.6450899243354797-0.02056308649480343j),0.32538805509868424,0.032860335,46.872177,0.002295572788265725,22.079338232991656,5732.063116776316,3860.398893917039,2069.7559192306985
Donacobiidae,,,_113873,146304,0.00013154397,0.0582114,0.22906242,1025,-0.0020683119991336566,3713.451945542598,5737.845723612325,20.920903187385612,2111.45340749269,0.3777093,135.99917763157896,0.1558229266009769,-12.299574,0.0582114,0.285307,0.1253169,0.32460800917832167,0.6139905,0.285307,0.6104039,0.6413358038624186,(0.5603289008140564-0.02883748896420002j),0.32460800917832167,0.038079854,16.64846,-0.0020683119991336566,20.920903187385612,5737.845723612325,3713.451945542598,2111.45340749269
